scene,acquisition_date,mission,mode,polarization,relative_orbit,pass_direction,abs_orbit,bbox_snwe,footprint_overlap_vs_reference
S1A_IW_SLC__1SSV_20240701T100607_20240701T100607_054566_06A43B_C0A4,20240701,S1A,IW,VV,69,ASCENDING,54566,"(39.706468, 40.028375, 116.274582, 117.363225)",1.0
S1A_IW_SLC__1SSV_20240713T100606_20240713T100606_054741_06AA4A_8D68,20240713,S1A,IW,VV,69,ASCENDING,54741,"(39.706728, 40.02878, 116.273241, 117.36195)",0.9975
S1A_IW_SLC__1SSV_20240725T100606_20240725T100606_054916_06B064_9D31,20240725,S1A,IW,VV,69,ASCENDING,54916,"(39.706926, 40.028848, 116.274266, 117.362914)",0.9982
S1A_IW_SLC__1SSV_20240806T100606_20240806T100606_055091_06B672_FC60,20240806,S1A,IW,VV,69,ASCENDING,55091,"(39.706686, 40.028613, 116.273171, 117.361829)",0.998
S1A_IW_SLC__1SSV_20240818T100606_20240818T100606_055266_06BCCE_6066,20240818,S1A,IW,VV,69,ASCENDING,55266,"(39.706527, 40.028605, 116.271362, 117.3601)",0.9963
S1A_IW_SLC__1SSV_20240830T100606_20240830T100606_055441_06C348_ACAB,20240830,S1A,IW,VV,69,ASCENDING,55441,"(39.706791, 40.028764, 116.271254, 117.359943)",0.9957
S1A_IW_SLC__1SSV_20240911T100606_20240911T100606_055616_06CA1F_C7BC,20240911,S1A,IW,VV,69,ASCENDING,55616,"(39.706791, 40.028913, 116.270459, 117.359173)",0.9945
S1A_IW_SLC__1SSV_20240923T100607_20240923T100607_055791_06D106_CBAB,20240923,S1A,IW,VV,69,ASCENDING,55791,"(39.706204, 40.0282, 116.269841, 117.358498)",0.9948
S1A_IW_SLC__1SSV_20241005T100607_20241005T100607_055966_06D7F2_BF01,20241005,S1A,IW,VV,69,ASCENDING,55966,"(39.706725, 40.028703, 116.271279, 117.359934)",0.996
S1A_IW_SLC__1SSV_20241017T100608_20241017T100608_056141_06DED8_E863,20241017,S1A,IW,VV,69,ASCENDING,56141,"(39.706884, 40.02884, 116.271474, 117.360068)",0.9957
S1A_IW_SLC__1SSV_20241029T100607_20241029T100607_056316_06E5CE_F677,20241029,S1A,IW,VV,69,ASCENDING,56316,"(39.70719, 40.028696, 116.270838, 117.35533)",0.9956
S1A_IW_SLC__1SSV_20241110T100607_20241110T100607_056491_06ECBB_384E,20241110,S1A,IW,VV,69,ASCENDING,56491,"(39.706969, 40.029088, 116.269871, 117.358613)",0.9935
S1A_IW_SLC__1SSV_20241122T100606_20241122T100606_056666_06F3C3_ACFF,20241122,S1A,IW,VV,69,ASCENDING,56666,"(39.707155, 40.029263, 116.270858, 117.359599)",0.9938
S1A_IW_SLC__1SSV_20241204T100605_20241204T100605_056841_06FAAF_C241,20241204,S1A,IW,VV,69,ASCENDING,56841,"(39.706963, 40.02893, 116.271384, 117.360158)",0.9953
S1A_IW_SLC__1SSV_20241216T100604_20241216T100604_057016_07019C_DC21,20241216,S1A,IW,VV,69,ASCENDING,57016,"(39.707083, 40.029034, 116.271978, 117.36074)",0.9956
S1A_IW_SLC__1SSV_20241228T100603_20241228T100603_057191_070889_A6C9,20241228,S1A,IW,VV,69,ASCENDING,57191,"(39.706862, 40.028837, 116.271339, 117.360194)",0.9956
S1A_IW_SLC__1SSV_20250109T100602_20250109T100602_057366_070F6F_2BFF,20250109,S1A,IW,VV,69,ASCENDING,57366,"(39.706827, 40.028815, 116.270854, 117.359687)",0.9952
S1A_IW_SLC__1SSV_20250121T100601_20250121T100601_057541_071665_D103,20250121,S1A,IW,VV,69,ASCENDING,57541,"(39.706701, 40.028568, 116.270959, 117.35972)",0.9961
S1A_IW_SLC__1SSV_20250202T100601_20250202T100601_057716_071D54_F089,20250202,S1A,IW,VV,69,ASCENDING,57716,"(39.706697, 40.02869, 116.270307, 117.359096)",0.9951
S1A_IW_SLC__1SSV_20250214T100600_20250214T100600_057891_072457_1F1E,20250214,S1A,IW,VV,69,ASCENDING,57891,"(39.706949, 40.029048, 116.271039, 117.359784)",0.9947
S1A_IW_SLC__1SSV_20250226T100600_20250226T100600_058066_072B6F_D050,20250226,S1A,IW,VV,69,ASCENDING,58066,"(39.70702, 40.029121, 116.271489, 117.360233)",0.9948
S1A_IW_SLC__1SSV_20250310T100600_20250310T100600_058241_073295_4B38,20250310,S1A,IW,VV,69,ASCENDING,58241,"(39.70682, 40.028795, 116.270271, 117.358924)",0.9947
S1A_IW_SLC__1SSV_20250322T100601_20250322T100601_058416_07397E_9141,20250322,S1A,IW,VV,69,ASCENDING,58416,"(39.706167, 40.028289, 116.269088, 117.357813)",0.994
S1A_IW_SLC__1SSV_20250403T100601_20250403T100601_058591_07408C_9FAB,20250403,S1A,IW,VV,69,ASCENDING,58591,"(39.706415, 40.028535, 116.269129, 117.357907)",0.9943
S1A_IW_SLC__1SSV_20250415T100600_20250415T100600_058766_0747B7_EF08,20250415,S1A,IW,VV,69,ASCENDING,58766,"(39.706624, 40.028576, 116.272846, 117.361522)",0.9978
S1A_IW_SLC__1SSV_20250427T100601_20250427T100601_058941_074EE1_24B8,20250427,S1A,IW,VV,69,ASCENDING,58941,"(39.70641, 40.028332, 116.271107, 117.359746)",0.9966
S1A_IW_SLC__1SSV_20250509T100601_20250509T100601_059116_0755AC_B0F9,20250509,S1A,IW,VV,69,ASCENDING,59116,"(39.706198, 40.028105, 116.273432, 117.36201)",0.9981
S1A_IW_SLC__1SSV_20250521T100600_20250521T100600_059291_075BB8_6048,20250521,S1A,IW,VV,69,ASCENDING,59291,"(39.706833, 40.02874, 116.273991, 117.362572)",0.9983
S1A_IW_SLC__1SSV_20250602T100600_20250602T100600_059466_0761CC_A7D0,20250602,S1A,IW,VV,69,ASCENDING,59466,"(39.706926, 40.028956, 116.273891, 117.362539)",0.9976
S1A_IW_SLC__1SSV_20250614T100559_20250614T100559_059641_0767C1_7E62,20250614,S1A,IW,VV,69,ASCENDING,59641,"(39.706873, 40.028757, 116.275029, 117.363647)",0.9984
S1A_IW_SLC__1SSV_20250626T100559_20250626T100559_059816_076DD4_C98B,20250626,S1A,IW,VV,69,ASCENDING,59816,"(39.706718, 40.028599, 116.274803, 117.363448)",0.9991
S1A_IW_SLC__1SSV_20250708T100558_20250708T100558_059991_0773E3_6AEF,20250708,S1A,IW,VV,69,ASCENDING,59991,"(39.706356, 40.028253, 116.274145, 117.362813)",0.9993
S1A_IW_SLC__1SSV_20250720T100557_20250720T100557_060166_0779E8_7133,20250720,S1A,IW,VV,69,ASCENDING,60166,"(39.706874, 40.028775, 116.273981, 117.36254)",0.9982
S1A_IW_SLC__1SSV_20250801T100557_20250801T100557_060341_077FEB_DE0B,20250801,S1A,IW,VV,69,ASCENDING,60341,"(39.706887, 40.028814, 116.272909, 117.361507)",0.9971
S1A_IW_SLC__1SSV_20250813T100557_20250813T100557_060516_078677_7D80,20250813,S1A,IW,VV,69,ASCENDING,60516,"(39.706764, 40.028115, 116.272658, 117.35713)",0.9982
S1A_IW_SLC__1SSV_20250825T100557_20250825T100557_060691_078D5F_AA70,20250825,S1A,IW,VV,69,ASCENDING,60691,"(39.706481, 40.02855, 116.272202, 117.360855)",0.9973
S1A_IW_SLC__1SSV_20250906T100557_20250906T100557_060866_07944A_AC85,20250906,S1A,IW,VV,69,ASCENDING,60866,"(39.706329, 40.028414, 116.272257, 117.360935)",0.9973
S1A_IW_SLC__1SSV_20250918T100558_20250918T100558_061041_079B51_5D38,20250918,S1A,IW,VV,69,ASCENDING,61041,"(39.706055, 40.02816, 116.270855, 117.359524)",0.9953
S1A_IW_SLC__1SSV_20250930T100558_20250930T100558_061216_07A25E_077A,20250930,S1A,IW,VV,69,ASCENDING,61216,"(39.706268, 40.028394, 116.270477, 117.359193)",0.9956
S1A_IW_SLC__1SSV_20251012T100558_20251012T100558_061391_07A969_2B97,20251012,S1A,IW,VV,69,ASCENDING,61391,"(39.706532, 40.028527, 116.268243, 117.356941)",0.9937
S1A_IW_SLC__1SSV_20251024T100558_20251024T100558_061566_07B06F_B14B,20251024,S1A,IW,VV,69,ASCENDING,61566,"(39.706964, 40.029055, 116.27115, 117.359839)",0.9947
S1A_IW_SLC__1SSV_20251105T100557_20251105T100557_061741_07B75F_CF6F,20251105,S1A,IW,VV,69,ASCENDING,61741,"(39.706597, 40.028682, 116.271918, 117.360666)",0.9966
S1A_IW_SLC__1SSV_20251129T100556_20251129T100556_062091_07C4FB_1749,20251129,S1A,IW,VV,69,ASCENDING,62091,"(39.706422, 40.02841, 116.271059, 117.359873)",0.9965
S1A_IW_SLC__1SSV_20251211T100555_20251211T100555_062266_07CBCE_815E,20251211,S1A,IW,VV,69,ASCENDING,62266,"(39.706616, 40.028605, 116.270034, 117.358885)",0.9951
S1A_IW_SLC__1SSV_20260104T100552_20260104T100552_062616_07D960_AADE,20260104,S1A,IW,VV,69,ASCENDING,62616,"(39.705908, 40.027865, 116.271661, 117.36047)",0.9956
S1A_IW_SLC__1SSV_20260116T100551_20260116T100551_062791_07E024_CC91,20260116,S1A,IW,VV,69,ASCENDING,62791,"(39.706024, 40.028122, 116.271545, 117.360413)",0.9958
S1A_IW_SLC__1SSV_20260128T100551_20260128T100551_062966_07E668_2B8E,20260128,S1A,IW,VV,69,ASCENDING,62966,"(39.706205, 40.028197, 116.269793, 117.358619)",0.9948
S1A_IW_SLC__1SSV_20260209T100550_20260209T100550_063141_07ECF6_392B,20260209,S1A,IW,VV,69,ASCENDING,63141,"(39.705839, 40.027837, 116.270033, 117.358807)",0.9939
S1A_IW_SLC__1SSV_20260221T100549_20260221T100549_063316_07F38A_1A34,20260221,S1A,IW,VV,69,ASCENDING,63316,"(39.705695, 40.027802, 116.270909, 117.359622)",0.9942
S1A_IW_SLC__1SSV_20260305T100549_20260305T100549_063491_07FA35_BDB7,20260305,S1A,IW,VV,69,ASCENDING,63491,"(39.705983, 40.028083, 116.271388, 117.360132)",0.9956
S1A_IW_SLC__1SSV_20260317T100549_20260317T100549_063666_0800CC_2BC8,20260317,S1A,IW,VV,69,ASCENDING,63666,"(39.705555, 40.027384, 116.271819, 117.360421)",0.9946
S1A_IW_SLC__1SSV_20260329T100549_20260329T100549_063841_080753_D724,20260329,S1A,IW,VV,69,ASCENDING,63841,"(39.70525, 40.027332, 116.271836, 117.36048)",0.9937
S1A_IW_SLC__1SSV_20260410T100549_20260410T100549_064016_080DE3_BC0B,20260410,S1A,IW,VV,69,ASCENDING,64016,"(39.705176, 40.027264, 116.271586, 117.360237)",0.9932
